gene,symbol,outcome,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,chr_hg19,pos_hg19,chr_hg38,pos_hg38,offset,n_cis_snp,catalog_gene_t2dcad,catalog_gene_any,cat_pos_100kb,cat_pos_250kb,nearest_cat_kb,tier,top_snp,gene_anno_broad,cat_pos_100kb_broad,cat_pos_250kb_broad,nearest_cat_kb_broad,tier_broad
ENSG00000076554,TPD52,fbg,0.00125618274546358,3.135e-05,56.9053,1496,0.912810257527611,8,81007019,8,80094784,-912235,1105,False,False,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000112701,SENP6,cad,0.00485248587190293,4.58e-05,51.9206,4396,0.905554679709319,6,76369611,6,75659895,-709716,1253,False,False,True,True,38.7,known_locus_100kb_novel_gene,,False,True,True,38.7,known_locus_100kb_novel_gene
ENSG00000177963,RIC8A,cad,4.87503845110966e-05,8.347e-06,27.9039,3064,0.889472442278656,11,211312,11,211312,0,309,False,False,True,True,8.1,known_locus_100kb_novel_gene,,False,True,True,0.9,known_locus_100kb_novel_gene
ENSG00000118418,HMGN3,cad,0.0125975059135519,5.227e-05,13.7508,5927,0.888398848225281,6,79927684,6,79217967,-709717,339,False,False,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000087250,MT3,fbg,0.0001199864408978,9.169e-05,16.9929,1861,0.88003037094877,16,56623993,16,56590081,-33912,177,False,False,False,True,164.4,known_locus_250kb_novel_gene,,False,True,True,43.6,known_locus_100kb_novel_gene
ENSG00000167526,RPL13,t2d,0.0114438177317366,5.251e-06,61.0886,1821,0.870151705598685,16,89629007,16,89562599,-66408,2059,False,False,True,True,1.6,known_locus_100kb_novel_gene,,False,True,True,1.6,known_locus_100kb_novel_gene
ENSG00000130584,ZBTB46,cad,0.010691251863275,5.562e-07,8.7938,5056,0.844244300906311,20,62418808,20,63787455,1368647,182,False,False,True,True,26.9,known_locus_100kb_novel_gene,,False,True,True,26.9,known_locus_100kb_novel_gene
ENSG00000249915,PDCD6,t2d,3.11056024514747e-05,1.64e-05,27.9517,1282,0.842272690870712,5,312853,5,312738,-115,1392,False,False,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000163815,CLEC3B,t2d,0.000131952929107605,5.068e-05,47.3822,3578,0.833833762129008,3,45060301,3,45018809,-41492,1247,False,False,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000197020,ZNF100,cad,0.0234105961611167,3.973e-05,66.3049,6873,0.81768672707887,19,21927999,19,21745197,-182802,3197,False,False,True,True,8.9,known_locus_100kb_novel_gene,,False,True,True,8.9,known_locus_100kb_novel_gene
